"severity","confidence","code","status","id","slug","organization_name","title_es","title_en","primary_category","detail","recommendation"
"access","medium","address_without_in_person","published","78fd23b1-9406-49ad-b803-71e3e0c077ac","austin-child-guidance-center-child-and-family-therapy","Austin Child Guidance Center","Terapia infantil y familiar","Child and family therapy","salud","Address exists but in-person is not selected.","Confirm whether this is a service location or remove the address."
"access","medium","address_without_in_person","published","36cce978-6612-4e04-8874-0a54503645eb","acceso-gratuito-a-computadoras-y-habilidades-digitales-austin-free-net","Austin Free-Net","Acceso Gratuito a Computadoras y Habilidades Digitales","Free Computer Access & Digital Skills","educacion","Address exists but in-person is not selected.","Confirm whether this is a service location or remove the address."
"access","medium","address_without_in_person","draft","16d516fc-28ce-45c2-b035-a5d9ee23d813","austin-habitat-for-humanity-reparacion-de-vivienda-bastrop-austin-habitat-for-humanity","Austin Habitat for Humanity","Austin Habitat for Humanity — Reparación de Vivienda (Bastrop)","Austin Habitat for Humanity — Home Repair (Bastrop)","vivienda","Address exists but in-person is not selected.","Confirm whether this is a service location or remove the address."
"access","medium","address_without_in_person","draft","3471b448-666e-449a-917d-7b56298439f9","austin-water-customer-service-taps","Austin Water","Austin Water – Servicio al Cliente / TAPS","Austin Water – Customer Service / TAPS","vivienda","Address exists but in-person is not selected.","Confirm whether this is a service location or remove the address."
"access","medium","address_without_in_person","draft","4f319f20-d10c-4127-b367-821adfe1b5c0","agencia-de-area-sobre-el-envejecimiento-del-area-capital-aaacap-adrc-capcog-capital-area-council-of-governments-capcog","Capital Area Council of Governments (CAPCOG)","Agencia de Área sobre el Envejecimiento del Área Capital (AAACAP) / ADRC — CAPCOG","Area Agency on Aging of the Capital Area (AAACAP) / ADRC — CAPCOG","otros-recursos","Address exists but in-person is not selected.","Confirm whether this is a service location or remove the address."
"access","medium","address_without_in_person","published","bb12f176-ea4d-4370-80de-21b47489272b","capital-area-counseling-affordable-counseling-services","Capital Area Counseling","Servicios de consejería asequibles","Affordable counseling services","salud","Address exists but in-person is not selected.","Confirm whether this is a service location or remove the address."
"access","medium","address_without_in_person","published","edc2a6d0-c693-4b83-9d1e-a1e4c1e4bc6a","capmetro-ruta-214-capital-metropolitan-transportation-authority-capmetro","Capital Metropolitan Transportation Authority (CapMetro) – Route 214","Autobús entre Lago Vista, Jonestown y Lakeline Station","Bus Service from Lago Vista & Jonestown to Lakeline Station","transporte","Address exists but in-person is not selected.","Confirm whether this is a service location or remove the address."
"access","medium","address_without_in_person","published","b3cfcb36-4f77-44d5-978c-d66c763d429a","capmetro-ruta-990-manor-express-capital-metropolitan-transportation-authority-capmetro","Capital Metropolitan Transportation Authority (CapMetro) – Route 990 Manor/Elgin Express","Autobús de Manor hacia Austin","Bus Service from Manor to Austin","transporte","Address exists but in-person is not selected.","Confirm whether this is a service location or remove the address."
"access","medium","address_without_in_person","published","5d8f99e2-1f94-43ef-824d-6db420ef9742","central-health-medical-access-program-map","Central Health","Asistencia para la cobertura de salud de MAP y MAP Basic","MAP & MAP Basic Health Coverage Assistance","salud","Address exists but in-person is not selected.","Confirm whether this is a service location or remove the address."
"access","medium","address_without_in_person","published","969b11e0-252c-4c6c-bca7-769f4326288c","west-lake-hills-registro-de-emergencias-stear-city-of-west-lake-hills","City of West Lake Hills – State of Texas Emergency Assistance Registry (STEAR)","Registro de Asistencia para Emergencias para Personas con Necesidades Especiales","Emergency Assistance Registry for People with Special Needs","otros-recursos","Address exists but in-person is not selected.","Confirm whether this is a service location or remove the address."
"access","medium","address_without_in_person","published","622d9262-1590-46f0-a976-b75a1c13ec4d","communitycare-primary-and-specialty-health-services","CommUnityCare","Servicios de salud primaria y especializada","Primary and specialty health services","salud","Address exists but in-person is not selected.","Confirm whether this is a service location or remove the address."
"access","medium","address_without_in_person","published","1f6272c7-a375-4adf-987e-b9f237db57bb","del-valle-isd-apoyo-estudiantil-y-familiar-del-valle-independent-school-district","Del Valle Independent School District","Del Valle ISD — Apoyo Estudiantil y Familiar","Del Valle ISD — Student and Family Support","otros-recursos","Address exists but in-person is not selected.","Confirm whether this is a service location or remove the address."
"access","medium","address_without_in_person","published","d28a7164-f6b8-4ded-a55a-07ab2e5751fd","half-helen-foundation-community-eye-exams","Half Helen Foundation","Exámenes comunitarios de la vista","Community eye exams","salud","Address exists but in-person is not selected.","Confirm whether this is a service location or remove the address."
"access","medium","address_without_in_person","published","ba71aa96-7a45-40ee-8f26-950d7180e7b9","lake-travis-isd-programas-para-estudiantes-sin-hogar-mckinney-vento-lake-travis-independent-school-district","Lake Travis ISD – McKinney-Vento Program","Apoyo Educativo para Estudiantes sin Vivienda Estable","Educational Support for Students Experiencing Homelessness","educacion","Address exists but in-person is not selected.","Confirm whether this is a service location or remove the address."
"access","medium","address_without_in_person","published","ff866166-7d9e-4d6e-ac4d-7386004157d5","manos-de-cristo-salud-dental-necesidades-basicas-y-educacion-manos-de-cristo-inc","Manos de Cristo, Inc.","Manos de Cristo – Salud Dental, Necesidades Básicas y Educación","Manos de Cristo – Dental Care, Basic Needs & Education","salud","Address exists but in-person is not selected.","Confirm whether this is a service location or remove the address."
"access","medium","address_without_in_person","published","1f38b864-ea55-418e-89e3-91cec44a92d6","meals-for-vets-comidas-para-veteranos-meals-for-vets","Meals for Vets","Comidas para Veteranos","Meals for Vets","comida","Address exists but in-person is not selected.","Confirm whether this is a service location or remove the address."
"access","medium","address_without_in_person","draft","8f45635a-6179-4946-9761-8d2104e43bc6","meals-on-wheels-central-texas-mowct-meals-on-wheels-central-texas","Meals on Wheels Central Texas","Meals on Wheels Central Texas (MOWCT)","Meals on Wheels Central Texas (MOWCT)","comida","Address exists but in-person is not selected.","Confirm whether this is a service location or remove the address."
