slug,status,organization,code,detail
"encuentra-alimentos-cerca-de-ti-central-texas-food-bank","published","Central Texas Food Bank","no_description_either_language",""
"comidas-calientes-y-duchas-en-angel-house-austin-baptist-chapel","published","Austin Baptist Chapel","no_description_either_language",""
"buscador-de-vivienda-asequible-de-austin-city-of-austin-housing-department","published","City of Austin Housing Department","no_description_either_language",""
"vivienda-publica-y-subsidiada-housing-authority-of-the-city-of-austin","published","Housing Authority of the City of Austin","no_description_either_language",""
"clinica-de-salud-ben-white-lone-star-circle-of-care","published","Lone Star Circle of Care","no_description_either_language",""
"tarifas-reducidas-equifare-capmetro","published","CapMetro","no_description_either_language",""
"transporte-rural-y-regional-en-travis-county-capital-area-rural-transportation-system-carts","published","Capital Area Rural Transportation System (CARTS)","no_description_either_language",""
"transporte-gratuito-para-adultos-mayores-drive-a-senior","published","Drive a Senior","no_description_either_language",""
"descuentos-y-ayuda-con-servicios-publicos-city-of-austin-utilities-austin-energy","published","City of Austin Utilities / Austin Energy","no_description_either_language",""
"ayuda-para-pagar-servicios-publicos-travis-county-health-and-human-services","published","Travis County Health and Human Services","no_description_either_language",""
"clases-de-ingles-ged-y-capacitacion-laboral-austin-community-college-district","published","Austin Community College District","no_description_either_language",""
"educacion-para-adultos-y-preparacion-laboral-literacy-coalition-of-central-texas","published","Literacy Coalition of Central Texas","no_description_either_language",""
"clases-de-ingles-y-alfabetizacion-digital-el-buen-samaritano","published","El Buen Samaritano","no_description_either_language",""
"asistencia-legal-civil-gratuita-texas-riogrande-legal-aid","archived","Texas RioGrande Legal Aid","no_description_either_language",""
"orientacion-para-encontrar-ayuda-local-2-1-1-texas","published","2-1-1 Texas","no_description_either_language",""
"linea-confidencial-24-7-para-violencia-y-abuso-the-safe-alliance","published","The SAFE Alliance","no_description_either_language",""
"williamson-county-community-resource-navigation","published","Williamson County Community Resource Center","no_description_either_language",""
"owbc-head-start-williamson","published","Opportunities for Williamson & Burnet Counties","no_description_either_language",""
"hope-alliance-survivor-services","published","Hope Alliance","no_description_either_language",""
"bluebonnet-trails-mental-health-williamson","archived","Bluebonnet Trails Community Services","no_description_either_language",""
"bluebonnet-trails-mental-health-williamson","archived","Bluebonnet Trails Community Services","in_person_without_address",""
"bluebonnet-trails-osar-williamson","published","Bluebonnet Trails Community Services","no_description_either_language",""
"feed-wilco-home-delivery","published","Feed Wilco","no_description_either_language",""
"brighter-days-food-pantry","published","Leander Church of Christ","no_description_either_language",""
"the-caring-place-community-assistance","archived","The Caring Place","no_description_either_language",""
"operation-liberty-hill-food-pantry","published","Operation Liberty Hill","no_description_either_language",""
"shepherds-heart-taylor-assistance","published","Shepherd's Heart Food Pantry","no_description_either_language",""
"carts-williamson-county-transportation","published","Capital Area Rural Transportation System","no_description_either_language",""
"faith-in-action-georgetown-rides","published","Faith in Action Georgetown","no_description_either_language",""
"texas-medicaid-medical-transportation","published","Texas Health and Human Services","no_description_either_language",""
"lone-star-circle-of-care-cedar-park","published","Lone Star Circle of Care","no_description_either_language",""
"lone-star-circle-of-care-aw-grimes","published","Lone Star Circle of Care","no_description_either_language",""
"sacred-heart-community-clinic","published","Sacred Heart Community Clinic","no_description_either_language",""
"samaritan-health-ministries-leander","published","Samaritan Health Ministries","no_description_either_language",""
"wcchd-wilco-care","published","Williamson County and Cities Health District","no_description_either_language",""
"wcchd-wic-williamson","published","Williamson County and Cities Health District","no_description_either_language",""
"habitat-williamson-county-housing","published","Habitat for Humanity of Williamson County","no_description_either_language",""
"community-action-adult-education-williamson","published","Community Action, Inc. of Central Texas","no_description_either_language",""
"workforce-solutions-williamson-county","published","Workforce Solutions Rural Capital Area","no_description_either_language",""
"texaslawhelp-williamson","published","TexasLawHelp.org","no_description_either_language",""
"texas-advocacy-project-williamson","published","Texas Advocacy Project","no_description_either_language",""
"catholic-charities-immigration-williamson","published","Catholic Charities of Central Texas","no_description_either_language",""
"rock-ride-on-center-georgetown","published","ROCK Ride On Center for Kids","no_description_either_language",""
"georgetown-housing-authority-programs","published","Georgetown Housing Authority","no_description_either_language",""
"round-rock-housing-authority-programs","archived","Round Rock Housing Authority","no_description_either_language",""
"taylor-housing-authority-programs","published","Taylor Housing Authority","no_description_either_language",""
"lone-star-circle-of-care-georgetown","published","Lone Star Circle of Care","no_description_either_language",""
"williamson-county-family-recovery-court","published","Williamson County","in_person_without_address",""
"literacy-council-williamson-county","published","Literacy Council of Williamson County","in_person_without_address",""
"volunteer-legal-services-central-texas-williamson","archived","Volunteer Legal Services of Central Texas","in_person_without_address",""
"williamson-county-court-appointed-attorney","published","Williamson County Indigent Defense","in_person_without_address",""
"programa-de-consejeria-hope-texas-baptist-children-s-home","archived","Texas Baptist Children's Home","no_description_either_language",""
"con-mi-madre-community-support-for-individuals-and-families","published","Con Mi Madre","in_person_without_address",""
"todos-juntos-learning-center-community-support-for-individuals-and-families","published","Todos Juntos Learning Center","in_person_without_address",""
"cary-council-on-at-risk-youth-education-and-learning-support-programs","published","CARY (Council on At Risk Youth)","in_person_without_address",""
"autism-society-of-texas-community-support-for-individuals-and-families","published","Autism Society of Texas","in_person_without_address",""
"live-like-cati-community-support-for-individuals-and-families","published","Live Like Cati","in_person_without_address",""
"partnerships-for-children-community-support-for-individuals-and-families","published","Partnerships for Children","in_person_without_address",""
"foster-angels-of-central-texas-support-for-foster-youth-and-families","published","Foster Angels of Central Texas","in_person_without_address",""
"foster-village-support-for-foster-youth-and-families","published","Foster Village","in_person_without_address",""
"texas-baptist-children-s-home-support-for-foster-youth-and-families","published","Texas Baptist Children's Home","in_person_without_address",""
"the-settlement-home-for-children-post-adoption-services-support-for-foster-youth-and-families","published","The Settlement Home for Children Post-Adoption Services","in_person_without_address",""
"the-settlement-home-for-children-post-adoption-services-support-for-foster-youth-and-families","published","The Settlement Home for Children Post-Adoption Services","phone_not_dashed","512-836-2150 ext. 176"
"upbring-support-for-foster-youth-and-families","published","Upbring","in_person_without_address",""
"hill-country-community-ministries-food-and-basic-needs-assistance","archived","Hill Country Community Ministries","in_person_without_address",""
"workforce-solutions-rural-capital-area-child-care-services-financial-and-basic-needs-assistance","published","Workforce Solutions Rural Capital Area- Child Care Services","in_person_without_address",""
"dell-children-s-health-plan-mental-health-and-wellness-services","published","Dell Children's Health Plan","in_person_without_address",""
"healing-wings-llc-mental-health-and-wellness-services","published","Healing Wings LLC","in_person_without_address",""
"impact-counseling-services-inc-mental-health-and-wellness-services","published","Impact Counseling Services, Inc","in_person_without_address",""
"austin-youth-fitness-youth-development-and-recreation-programs","published","Austin Youth Fitness","in_person_without_address",""
"david-phillips-foundation-youth-development-and-recreation-programs","published","David Phillips Foundation","in_person_without_address",""
"just-keep-livin-foundation-youth-development-and-recreation-programs","published","just keep livin Foundation","in_person_without_address",""
"texas-parks-and-wildlife-department-tpwd-youth-development-and-recreation-programs","published","Texas Parks and Wildlife Department (TPWD)","in_person_without_address",""
"a-rocha-usa-community-support-for-individuals-and-families","published","A Rocha USA","in_person_without_address",""
"dress-for-success-austin-community-support-for-individuals-and-families","archived","Dress for Success Austin","in_person_without_address",""
"vela-disability-and-family-support","published","VELA","in_person_without_address",""
"beat-4-beat-education-and-learning-support-programs","published","Beat 4 Beat","in_person_without_address",""
"breakthrough-ctx-education-and-learning-support-programs","published","Breakthrough CTX","in_person_without_address",""
"keep-austin-beautiful-education-and-learning-support-programs","published","Keep Austin Beautiful","in_person_without_address",""
"keep-austin-beautiful-education-and-learning-support-programs","published","Keep Austin Beautiful","phone_not_dashed","512-391-0617 ext. 713"
"african-american-youth-harvest-foundation-community-support-for-individuals-and-families","published","African American Youth Harvest Foundation","in_person_without_address",""
"any-baby-can-community-support-for-individuals-and-families","archived","Any Baby Can","in_person_without_address",""
"austin-voices-for-education-and-youth-community-support-for-individuals-and-families","published","Austin Voices for Education and Youth","in_person_without_address",""
"fostering-hope-community-support-for-individuals-and-families","published","Fostering Hope","in_person_without_address",""
"texas-foster-family-association-community-support-for-individuals-and-families","published","Texas Foster Family Association","in_person_without_address",""
"bridge-lacrosse-youth-development-and-recreation-programs","published","Bridge Lacrosse","in_person_without_address",""
"girls-empowerment-network-youth-development-and-recreation-programs","published","Girls Empowerment Network","in_person_without_address",""
"girls-empowerment-network-youth-development-and-recreation-programs","published","Girls Empowerment Network","phone_not_dashed","512-808-4044 ext. 805"
"seedling-youth-development-and-recreation-programs","published","Seedling","in_person_without_address",""
"travis-audubon-youth-development-and-recreation-programs","published","Travis Audubon","in_person_without_address",""
"partners-for-education-agriculture-and-sustainability-peas-education-and-learning-support-programs","published","Partners For Education Agriculture and Sustainability (PEAS)","in_person_without_address",""
"texas-wildlife-association-education-and-learning-support-programs","published","Texas Wildlife Association","in_person_without_address",""
"black-mamas-atx-community-support-for-individuals-and-families","published","Black Mamas ATX","in_person_without_address",""
"college-possible-texas-community-support-for-individuals-and-families","published","College Possible Texas","in_person_without_address",""
"the-georgetown-project-community-support-for-individuals-and-families","published","The Georgetown Project","in_person_without_address",""
"wonders-and-worries-community-support-for-individuals-and-families","published","Wonders & Worries","in_person_without_address",""
"uplift-texas-food-and-basic-needs-assistance","published","Uplift Texas","in_person_without_address",""
"giving-austin-labor-support-gals-mental-health-and-wellness-services","published","Giving Austin Labor Support (GALS)","in_person_without_address",""
"atx-kids-club-youth-development-and-recreation-programs","published","ATX Kids Club","in_person_without_address",""
"austin-youth-river-watch-youth-development-and-recreation-programs","published","Austin Youth River Watch","in_person_without_address",""
"families-in-nature-youth-development-and-recreation-programs","published","Families in Nature","in_person_without_address",""
"maven-youth-youth-development-and-recreation-programs","published","Maven Youth","in_person_without_address",""
"rbi-austin-youth-development-and-recreation-programs","published","RBI Austin","in_person_without_address",""
"shield-ranch-foundation-el-ranchito-youth-development-and-recreation-programs","published","Shield Ranch Foundation/El Ranchito","in_person_without_address",""
"urban-roots-youth-development-and-recreation-programs","published","Urban Roots","in_person_without_address",""
"black-women-who-community-support-for-individuals-and-families","published","Black Women Who","in_person_without_address",""
"mama-sana-vibrant-woman-community-support-for-individuals-and-families","published","Mama Sana Vibrant Woman","in_person_without_address",""
"el-buen-samaritano-community-support-for-individuals-and-families","archived","El Buen Samaritano","in_person_without_address",""
"austin-habitat-for-humanity-housing-and-basic-needs-assistance","published","Austin Habitat for Humanity","in_person_without_address",""
"centered-youth-clinic-and-consulting-mental-health-and-wellness-services","published","Centered Youth Clinic & Consulting","in_person_without_address",""
"creative-action-youth-development-and-recreation-programs","published","Creative Action","in_person_without_address",""
"girl-scouts-of-central-texas-youth-development-and-recreation-programs","published","Girl Scouts of Central Texas","in_person_without_address",""
"ywca-greater-austin-youth-development-and-recreation-programs","published","YWCA Greater Austin","in_person_without_address",""
"ventanilla-de-salud-health-information-and-preventive-services","published","Ventanilla de Salud – Consulado General de México en Austin","service_area_names_city",""
"st-edward-s-community-counseling-clinic-community-counseling-services","published","St. Edward's Community Counseling Clinic","service_area_names_city",""
"dolores-catholic-church-food-pantry","published","Dolores Catholic Church","service_area_names_city",""
"double-up-food-bucks-food-assistance-benefits","published","Double Up Food Bucks Texas","service_area_names_city",""
"consulado-general-de-mexico-en-austin-consular-and-community-information","published","Consulado General de México en Austin","phone_not_dashed","512-478-2866 ext. 101"
"ut-austin-school-of-nursing-children-s-wellness-center","published","UT Austin School of Nursing","service_area_names_city",""
"navarro-high-school-family-resource-center-family-resource-center-support","published","Navarro High School Family Resource Center","service_area_names_city",""
"volunteer-legal-services-of-central-texas-volunteer-legal-services-of-central-texas","archived","Volunteer Legal Services of Central Texas","hours_one_language_only",""
"uplift-university-presbyterian-church-uplift-university-presbyterian-church","published","UPLift @ University Presbyterian Church","phone_not_dashed","512-476-5321 ext. 114"
"austin-resource-center-for-the-homeless-arch-austin-resource-center-for-the-homeless-arch","published","Austin Resource Center for the Homeless (ARCH)","service_area_names_city",""
"city-of-austin-vital-statistics","published","City of Austin – Austin Public Health","service_area_names_city",""
"social-security-office","published","U.S. Social Security Administration (SSA)","service_area_names_city",""
"us-bankruptcy-clerk","published","United States Bankruptcy Court – Western District of Texas","service_area_names_city",""
"us-citizenship-and-immigration-services-uscis","published","U.S. Department of Homeland Security – U.S. Citizenship and Immigration Services","in_person_without_address",""
"clinica-va-de-cedar-park-u-s-department-of-veterans-affairs-va-central-texas","published","U.S. Department of Veterans Affairs (VA) – VA Central Texas Healthcare System","service_area_names_city",""
"meals-on-wheels-central-texas-mowct-meals-on-wheels-central-texas","archived","Meals on Wheels Central Texas","address_without_in_person",""
"ollie-s-medical-equipment-lending-closet-senior-access-drive-a-senior-drive-a-senior-central-texas-antes-senior-access","published","Drive a Senior Central Texas (antes ""Senior Access"")","service_area_names_city",""
"closet-de-equipo-cpath-cerebral-palsy-awareness-transition-hope-cpath-cerebral-palsy-awareness-transition-hope","published","Cerebral Palsy Awareness Transition Hope (CPATH Texas)","service_area_names_city",""
"manos-de-cristo-salud-dental-necesidades-basicas-y-educacion-manos-de-cristo-inc","published","Manos de Cristo, Inc.","service_area_names_city",""
"pflugerville-health-center-communitycare-communitycare-health-centers","published","CommUnityCare Health Centers","service_area_names_city",""
"del-valle-health-wellness-center-communitycare-central-health-communitycare-health-centers","published","CommUnityCare Health Centers","service_area_names_city",""
"manor-mustang-health-center-people-s-community-clinic-integral-care-people-s-community-clinic-integral-care","published","People's Community Clinic / Integral Care","service_area_names_city",""
"lone-star-circle-of-care-at-jonestown-lone-star-circle-of-care","published","Lone Star Circle of Care","service_area_names_city",""
"trla-lassa-asistencia-legal-para-sobrevivientes-de-agresion-sexual-texas-riogrande-legal-aid","published","Texas RioGrande Legal Aid (TRLA) – Legal Aid for Survivors of Sexual Assault (LASSA)","in_person_without_address",""
"capmetro-ruta-990-manor-express-capital-metropolitan-transportation-authority-capmetro","published","Capital Metropolitan Transportation Authority (CapMetro) – Route 990 Manor/Elgin Express","service_area_names_city",""
"capmetro-ruta-271-del-valle-feeder-capital-metropolitan-transportation-authority-capmetro","published","Capital Metropolitan Transportation Authority (CapMetro) – Route 271 Del Valle","service_area_names_city",""
"capmetro-ruta-214-capital-metropolitan-transportation-authority-capmetro","published","Capital Metropolitan Transportation Authority (CapMetro) – Route 214","service_area_names_city",""
"capmetro-pickup-manor-dessau-lago-vista-capital-metropolitan-transportation-authority-capmetro","published","Capital Metro – CapMetro Pickup","service_area_names_city",""
"pfetch-a-ride-ciudad-de-pflugerville-uber-city-of-pflugerville","published","City of Pflugerville – Pfetch a Ride","service_area_names_city",""
"pflugerville-meadows-vivienda-asequible-texas-housing-foundation","published","Texas Housing Foundation – Pflugerville Meadows","service_area_names_city",""
"st-elizabeth-of-hungary-sociedad-de-san-vicente-de-paul-st-elizabeth-of-hungary-catholic-church","published","St. Elizabeth of Hungary Catholic Church – St. Vincent de Paul","service_area_names_city",""
